Year,Host,Stage,Stadium,City,Attendance,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
1930,Uruguay,Group 1,Estadio Centenario,Montevideo ,2000,Chile,1,0,France, ,0,0,CHI,FRA
1930,Uruguay,Group 3,Pocitos,Montevideo ,2549,Romania,3,1,Peru, ,1,0,ROU,PER
1930,Uruguay,Group 1,Pocitos,Montevideo ,4444,France,4,1,Mexico, ,3,0,FRA,MEX
1930,Uruguay,Group 1,Parque Central,Montevideo ,9249,Chile,3,0,Mexico, ,1,0,CHI,MEX
1930,Uruguay,Group 4,Estadio Centenario,Montevideo ,12000,Paraguay,1,0,Belgium, ,1,0,PAR,BEL
1930,Uruguay,Group 2,Parque Central,Montevideo ,18306,Yugoslavia,4,0,Bolivia, ,0,0,YUG,BOL
1930,Uruguay,Group 4,Parque Central,Montevideo ,18306,USA,3,0,Paraguay, ,2,0,USA,PAR
1930,Uruguay,Group 4,Parque Central,Montevideo ,18346,USA,3,0,Belgium, ,2,0,USA,BEL
1930,Uruguay,Group 1,Parque Central,Montevideo ,23409,Argentina,1,0,France, ,0,0,ARG,FRA
1930,Uruguay,Group 2,Parque Central,Montevideo ,24059,Yugoslavia,2,1,Brazil, ,2,0,YUG,BRA
1930,Uruguay,Group 2,Estadio Centenario,Montevideo ,25466,Brazil,4,0,Bolivia, ,1,0,BRA,BOL
1930,Uruguay,Group 1,Estadio Centenario,Montevideo ,41459,Argentina,3,1,Chile, ,2,1,ARG,CHI
1930,Uruguay,Group 1,Estadio Centenario,Montevideo ,42100,Argentina,6,3,Mexico, ,3,1,ARG,MEX
1930,Uruguay,Group 3,Estadio Centenario,Montevideo ,57735,Uruguay,1,0,Peru, ,0,0,URU,PER
1930,Uruguay,Final,Estadio Centenario,Montevideo ,68346,Uruguay,4,2,Argentina, ,1,2,URU,ARG
1930,Uruguay,Group 3,Estadio Centenario,Montevideo ,70022,Uruguay,4,0,Romania, ,4,0,URU,ROU
1930,Uruguay,Semi-finals,Estadio Centenario,Montevideo ,72886,Argentina,6,1,USA, ,1,0,ARG,USA
1930,Uruguay,Semi-finals,Estadio Centenario,Montevideo ,79867,Uruguay,6,1,Yugoslavia, ,3,1,URU,YUG
1934,Italy,Quarter-finals,San Siro,Milan ,3000,Germany,2,1,Sweden, ,0,0,GER,SWE
1934,Italy,Match for third place,Giorgio Ascarelli,Naples ,7000,Germany,3,2,Austria, ,3,1,GER,AUT
1934,Italy,Preliminary round,Giovanni Berta,Florence ,8000,Germany,5,2,Belgium, ,1,2,GER,BEL
1934,Italy,Preliminary round,Giorgio Ascarelli,Naples ,9000,Hungary,4,2,Egypt, ,2,2,HUN,EGY
1934,Italy,Preliminary round,Littorio,Trieste ,9000,Czechoslovakia,2,1,Romania, ,0,1,TCH,ROU
1934,Italy,Quarter-finals,Stadio Benito Mussolini,Turin ,12000,Czechoslovakia,3,2,Switzerland, ,1,1,TCH,SUI
1934,Italy,Preliminary round,Littorale,Bologna ,14000,Sweden,3,2,Argentina, ,1,1,SWE,ARG
